review_id,rating_date,employee_length,employee_status,employee_type,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,career_opportunities_rating,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_senior_leadership,rating_compensation_benefits,cleaned_text,sentiment_polarity,sentiment_subjectivity,sentiment_label,platform,S No.,Link,Upload Date,Views,Likes,Comments,Transcript/Transcript Link,Theme,segment
1.0,2025-06-03T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,0.0,0.0,3.0,0.0,,"Richmond, VA",Warehouse Fulfillment Associate,don’t micro manage,interactive leave take whenever long time easy work,inhumane draining physically amp mentally,0.0,0.0,interactive leave take whenever long time easy work inhumane draining physically amp mentally,-0.1233333333,0.4952380952,negative,Glassdoor,,,,,,,,Burnout,Full-Time Associate
2.0,2025-05-29T00:00:00.000Z,1,CONTRACT,"Current employee, less than 1 year",POSITIVE,APPROVE,POSITIVE,5.0,5.0,4.0,3.0,,"Brampton, ON",Warehouse Associate,remove attitude manager warehouse,good easy work enviorment,sticks rules completing targets otherwise get warning,3.0,5.0,good easy work enviorment sticks rules completing targets otherwise get warning,0.5666666667,0.7166666667,positive,Glassdoor,,,,,,,,Infrastructure,Other
3.0,2025-05-28T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",POSITIVE,APPROVE,POSITIVE,5.0,5.0,5.0,5.0,,"Bolton, ON",Warehouse Associate,,help grow good pay,limited opportunities advancementno clear path promotion,5.0,5.0,help grow good pay limited opportunities advancementno clear path promotion,0.2428571429,0.3753968254,positive,Glassdoor,,,,,,,,Benefits,Full-Time Associate
4.0,2025-05-26T00:00:00.000Z,2,PART_TIME,Current employees,POSITIVE,APPROVE,POSITIVE,2.0,2.0,3.0,2.0,,"Swedesboro, NJ",Employee,,plenty work meet new people,tough body labor intensive,2.0,2.0,plenty work meet new people tough body labor intensive,-0.1262626263,0.6439393939,negative,Glassdoor,,,,,,,,,Other
5.0,2025-05-23T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,0.0,0.0,4.0,0.0,,"Whitby, ON",Fulfillment Associate,,good holiday pay additional benefits permanent employees,hiring permanent employees directly,0.0,0.0,good holiday pay additional benefits permanent employees hiring permanent employees directly,0.4,0.5,positive,Glassdoor,,,,,,,,Benefits,Full-Time Associate
6.0,2025-05-18T00:00:00.000Z,2,REGULAR,Former employees,NAN,NAN,NAN,3.0,3.0,3.0,3.0,,"Kenosha, WI",Warehouse Associate,,nice people great pay benefits,management care employees hours way long,2.0,4.0,nice people great pay benefits management care employees hours way long,0.45,0.7166666667,positive,Glassdoor,,,,,,,,"Burnout, Management, Benefits",Full-Time Associate
7.0,2025-05-17T00:00:00.000Z,4,REGULAR,Current employees,NEGATIVE,NO_OPINION,NEGATIVE,4.0,4.0,4.0,3.0,,"Oklahoma City, OK",Associate,physical strength,learn lift trucks pallet jack flex schedule shifts,fast paced working environment weight lifting,5.0,5.0,learn lift trucks pallet jack flex schedule shifts fast paced working environment weight lifting,0.2,0.6,positive,Glassdoor,,,,,,,,Infrastructure,Full-Time Associate
9.0,2025-05-14T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NAN,NAN,NAN,0.0,0.0,3.0,0.0,,"Clarksville, TN",Fulfillment Associate,get better,good pay long hours,management absolutely terrible communicating,0.0,4.0,good pay long hours management absolutely terrible communicating,-0.1166666667,0.6666666667,negative,Glassdoor,,,,,,,,"Burnout, Management, Benefits",Full-Time Associate
11.0,2025-05-13T00:00:00.000Z,4,REGULAR,Former employees,POSITIVE,APPROVE,POSITIVE,5.0,5.0,5.0,5.0,,"Windsor, CT",Picker/Packer,appreciation employees,tuition reimbursement schedule flexibility benefits salary overtime opportunities,standing 10 hours noise safety hazards overworking get write ups meeting rate expectations,4.0,5.0,tuition reimbursement schedule flexibility benefits salary overtime opportunities standing 10 hours noise safety hazards overworking get write ups meeting rate expectations,0.0,0.0,negative,Glassdoor,,,,,,,,"Infrastructure, Benefits",Full-Time Picker/Packer
12.0,2025-05-07T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,0.0,0.0,3.0,0.0,,"Sparrows Point, MD",WHSS,,benefits great start immediately,workplace culture bad,0.0,0.0,benefits great start immediately workplace culture bad,0.05,0.7083333333,negative,Glassdoor,,,,,,,,Benefits,Other
13.0,2025-05-04T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0.0,0.0,5.0,0.0,,"Ajax, ON",Warehouse Associate,,good pay stressfree hard working,nightshift overtime cons,0.0,0.0,good pay stressfree hard working nightshift overtime cons,0.2041666667,0.5708333333,positive,Glassdoor,,,,,,,,"Burnout, Benefits",Full-Time Associate
14.0,2025-05-04T00:00:00.000Z,2,REGULAR,Current employees,NAN,NAN,NAN,0.0,0.0,3.0,0.0,,"Louisville, TN",FC Associate I,,4 day weeks good benefits ot usually available,physical job prepare tired,0.0,0.0,4 day weeks good benefits ot usually available physical job prepare tired,0.175,0.4607142857,positive,Glassdoor,,,,,,,,"Burnout, Benefits",Full-Time Associate
15.0,2025-04-27T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NAN,NAN,POSITIVE,0.0,0.0,4.0,1.0,,"Suffolk, VA",Shipping and Receiving,,good reference previous work,cons knowledge,0.0,0.0,good reference previous work cons knowledge,0.2666666667,0.3833333333,positive,Glassdoor,,,,,,,,,Other
